# TooltipLayout instance fields.
file,kind,owner,member,signature,param_index,old,new,detail_regex,line,col,notes
TooltipLayout,field,TooltipLayout,,,,aBoolean4914,drawBackground,,,
TooltipLayout,field,TooltipLayout,,,,anInt4918,newsEntryIndex,,,
TooltipLayout,field,TooltipLayout,,,,anInt4929,width,,,
TooltipLayout,field,TooltipLayout,,,,anInt4923,height,,,
TooltipLayout,field,TooltipLayout,,,,anInt4924,offsetX,,,
TooltipLayout,field,TooltipLayout,,,,anInt4920,offsetY,,,
TooltipLayout,field,TooltipLayout,,,,anInt4917,backgroundColor,,,
TooltipLayout,field,TooltipLayout,,,,anInt4913,textColor,,,
TooltipLayout,field,TooltipLayout,,,,anInt4928,textShadowColor,,,
TooltipLayout,field,TooltipLayout,,,,aClass221_4922,horizontalAlignment,,,
TooltipLayout,field,TooltipLayout,,,,aClass341_4925,verticalAlignment,,,
