# BufferedSocket and ServerEndpoint method naming pass.
file,kind,owner,member,signature,param_index,old,new,detail_regex,line,col,notes
BufferedSocket,method,BufferedSocket,,,,method1467,available,,,"Return available bytes on socket input stream"
BufferedSocket,method,BufferedSocket,,,,method1470,write,,,"Queue bytes for asynchronous socket write"
BufferedSocket,method,BufferedSocket,,,,method1471,clearStaticState,,,"Clear static BufferedSocket state"
BufferedSocket,method,BufferedSocket,,,,method1472,checkWriteException,,,"Throw if async writer captured an IOException"
BufferedSocket,method,BufferedSocket,,,,method1473,readByte,,,"Read single byte from socket input"
BufferedSocket,method,BufferedSocket,,,,method1474,readFully,,,"Read exact byte count from socket input"
BufferedSocket,method,BufferedSocket,,,,method1476,close,,,"Close buffered socket and join writer thread"
ServerEndpoint,method,ServerEndpoint,,,,method1259,rotateConnectionMode,,,"Rotate active endpoint mode flags"
ServerEndpoint,method,ServerEndpoint,,,,method1261,clearStaticState,,,"Clear static ServerEndpoint state"
ServerEndpoint,method,ServerEndpoint,,,,method1262,openSocketRequest,,,"Open SignLink socket request for active endpoint"
ServerEndpoint,method,ServerEndpoint,,,,method1264,matches,,,"Check endpoint equivalence by host and world id"
