# SignLink core runtime fields.
file,kind,owner,member,signature,param_index,old,new,detail_regex,line,col,notes
SignLink,field,SignLink,,,,aCallback_Sub1_3776,win32CursorCallback,,,
SignLink,field,SignLink,,,,anObject3787,audioOutputProvider,,,
SignLink,field,SignLink,,,,anObject3791,cursorManager,,,
SignLink,field,SignLink,,,,anObject3793,fullscreenAdapter,,,
SignLink,field,SignLink,,,,aThread3790,workerThread,,,
SignLink,field,SignLink,,,,aClass144_3797,requestQueueHead,,,
SignLink,field,SignLink,,,,aClass144_3798,requestQueueTail,,,
SignLink,field,SignLink,,,,aBoolean3801,shutdownRequested,,,
SignLink,field,SignLink,,,,aClass134_3802,directDrawDisplayModeManager,,,
SignLink,field,SignLink,,,,aBoolean3794,isMicrosoftJvm,,,
